category_id,category_level1_en,category_level2_en,category_level3_en
1000011448,COMPUTER EQUIPMENT,KEYBOARD - MOUSE - WEBCAM,COMPUTER KEYBOARD
1000017189,COMPUTER EQUIPMENT,KEYBOARD - MOUSE - WEBCAM,TOUCH TABLET KEYBOARD
1000011456,COMPUTER EQUIPMENT,KEYBOARD - MOUSE - WEBCAM,MOUSE KEYBOARD SET - MOUSE KEYBOARD PACK
1000011454,COMPUTER EQUIPMENT,KEYBOARD - MOUSE - WEBCAM,JOYSTICK - CONTROLLER - PC STEERING WHEEL
1000011450,COMPUTER EQUIPMENT,KEYBOARD - MOUSE - WEBCAM,NUMERIC KEYPAD
1000011470,COMPUTER EQUIPMENT,KEYBOARD - MOUSE - WEBCAM,WRIST REST
1000011460,COMPUTER EQUIPMENT,KEYBOARD - MOUSE - WEBCAM,MOUSE
1000011462,COMPUTER EQUIPMENT,KEYBOARD - MOUSE - WEBCAM,TABLET PEN - TABLET GLOVE
1000011464,COMPUTER EQUIPMENT,KEYBOARD - MOUSE - WEBCAM,MOUSEPAD
1000011466,COMPUTER EQUIPMENT,KEYBOARD - MOUSE - WEBCAM,PRESENTATION REMOTE CONTROL
1000011468,COMPUTER EQUIPMENT,KEYBOARD - MOUSE - WEBCAM,WEBCAM
1000004530,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,BAREBONES
1000003934,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,INTERNAL POWER SUPPLY
1000003992,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,PC BOX - SIDE PANELS
1000015331,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,INTERNAL CAMERA - INTERNAL CAMERA
1000003955,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,CONTROLLER CARD
1000003960,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,AUDIO ACQUISITION CARD - VIDEO ACQUISITION CARD
1000003940,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,INTERNAL GRAPHICS CARD
1000003938,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,MOTHERBOARD
1000004210,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,WIRED NETWORK CARD - WIRELESS NETWORK CARD
1000003967,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,INTERNAL SOUND CARD
1000003971,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,TUNER TV CARD
1000015912,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,KEYBOARD (SPARE PART)
1000003964,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,COOLING CONTROL - ENVIRONMENT
1000008094,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,SCREEN SLAB
1000003952,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,INTERNAL HARD DRIVE
1000004582,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,SSD HARD DISK
1000004006,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,SHEATH - COIL
1000013150,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,LOUDSPEAKER - MICROPHONE
1000003973,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,INTERNAL OPTICAL READER - BURNER
1000003985,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,INTERNAL MEMORY CARD READER
1000003980,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,INTERNAL DISK DRIVE - STORAGE CARTRIDGE
1000003945,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,MEMORY PC - LAPTOP
1000003989,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,NEON - LED LIGHTING
1000003997,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,TOOLS - FIXING - INSULATION
1000004012,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,COMPONENT PACK
1000017187,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,PC ASSEMBLY
1000004009,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,PC KIT
1000003949,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,PROCESSOR
1000004002,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,RACK - BAY ACCESSORIES
1000004000,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,INFRARED RECEIVER
1000003977,COMPUTER EQUIPMENT,COMPONENT - SPARE PART,COOLING - VENTILATION - WATERCOOLING
